"No","Nama Produk","Nomor Izin Edar / Notifikasi","Kandungan Bahan Berbahaya/Dilarang","Produsen / Pendaftar","Nomor Surat Public Warning"
"220","Deluxe Case # P.15","-","Merah K10 (Rhodamin B)","China","KH.00.01.2.3984 (02/09/2004)"
"221","DEST SKIN Cream malam Gold","NA 18120101262","Asam Retinoat / Tretinoin","Diproduksi oleh CV. Purbamas, Yogyakarta","IN.05.03.1.43.11.15.5285 (30/11/2015)"
"222","DIAMOND Cream","-","Merkuri/raksa (Hg)","","PW.2010"
"223","DIAMOND SHINE Whitening Cream Original","-","Klobetasol propionat","-","HM.01.1.2.10.21.49 (13/10/2021)"
"224","DIBAR Labs, ProtectoRx Hand Sanitizer","-","Metanol","Dibar Nutricional S. de R.L. de C.V.","HM.01.1.2.10.21.49 (13/10/2021)"
"225","Dnars Dinar Cream","-","Merkuri / raksa (Hg)","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"226","Dnars Golden Cream","-","Merkuri / raksa (Hg)","Top On Cosmetics Industries, Malaysia","HM.01.1.4.01.20.02 (01/07/2020)"
"227","Dnars Honey Cream","-","Asam Retinoat / Tretinoin, Hidrokinon","Yamni Industries Sdn Bhd (Cosmetic Premise)","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"228","Dnars Honey Cream","-","Asam Retinoat / Tretinoin, Hidrokinon","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"229","Dnars Nien Cream","-","Asam Retinoat / Tretinoin, Hidrokinon","Top On Cosmetics Industries, Malaysia","HM.01.1.4.01.20.02 (01/07/2020)"
"230","Dnars Yellow Gold Collagen","-","Merkuri / raksa (Hg)","Yamni Industries Sdn Bhd (Cosmetic Premise)","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"231","DOCTOR KAYAMA Whitening Day Cream","CL. 1004600454 ((No.Pendaftaran telah dibatalkan))","Merkuri / raksa (Hg)","CV. Estetika Karya Pratama, Jakarta","KH.00.01.432.6147 (26/11/2008)"
"232","DOCTOR KAYAMA Whitening Night Cream","CL. 1004600452 ((No.Pendaftaran telah dibatalkan))","Merkuri / raksa (Hg)","CV. Estetika Karya Pratama, Jakarta","KH.00.01.432.6147 (26/11/2008)"
"233","Dokter White Whitening Cream","-","Merkuri/ raksa (Hg)","","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"234","Dolly Glow Luminous Night Cream","-","Merkuri / raksa (Hg)","Nund Skintech, Thailand","HM.01.1.4.01.20.02 (01/07/2020)"
"235","Dolly Glow Miracle Treatment Cream","-","Asam Retinoat / Tretinoin, Hidrokinon","Nund Skintech, Thailand","HM.01.1.4.01.20.02 (01/07/2020)"
"236","Dong Lee Pearls Cream","-","Merkuri / raksa (Hg)","Tungli Chemical Co. Ltd","KH.00.01.2.3984 (02/09/2004)"
"237","Donna Peapis Creme","-","Merkuri / raksa (Hg)","Donna Cosmetic","KH.00.01.3352 (07/09/2006)"
"238","Dove Hair Fall Rescue+Conditioner","-","Palsu","","HM.01.1.2.10.21.49 (13/10/2021)"
"239","Dr BL Skin Care Cairan Peremajaan Plus","-","Asam Retinoat / Tretinoin, Hidrokinon","","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"240","DR HERBAL Night Cream","NA47130103600","Merkuri / raksa (Hg)","Diimport Oleh: Crystal Beauty Jakarta â€“ Indonesia","IN.05.03.1.43.06.16.2848 (30/06/2016)"
"241","DR Night Cream","NA18140101297","Merkuri / raksa (Hg)","Manufactured by: CV. Bernita Ayu Tulungagung - Jatim Indonesia","IN.05.03.1.43.06.16.2848 (30/06/2016)"
"242","DR. ERIC B Whitening Cream","-","Merkuri/raksa (Hg)","","PW.2010"
"243","DR. FREDI SETYAWAN Extra Whitening Cream","(Izin Edar Dibatalkan)","Asam Retinoat / Tretinoin","Natasha Medicated Skin Care, Yogyakarta","KH.00.01.43.2503 (11/06/2009)"
"244","DR. FREDI SETYAWAN Whitening Cream II","(Izin Edar Dibatalkan)","Asam Retinoat / Tretinoin","Natasha Medicated Skin Care, Yogyakarta","KH.00.01.43.2503 (11/06/2009)"
"245","DR. Whitening Treatment Night Cream","CA 18100101355 (Izin Edar telah dibatalkan)","Merkuri/ raksa (Hg)","PT. Ayu Nusantara Sejahtera, Banyumas","HM.03.03.1.43.12.12.8256 (27/12/2012)"
"246","DR's SECRET 3 Skinlight","(Izin Edar Dibatalkan)","Hidrokinon","Produsen: USA, Distributor: Obagi Medical Products, Jakarta","KH.00.01.43.2503 (11/06/2009)"
"247","DR'SECRET 4 Skinreco","(Izin Edar Dibatalkan)","Asam Retinoat / Tretinoin, Hidrokinon","Produsen: USA, Distributor: Obagi Medical Products, Jakarta","KH.00.01.43.2503 (11/06/2009)"
"248","droplets of Nature. REJUVENATING CREAM Lift - Correct 10g","-","Asam Retinoat / Tretinoin, Hidrokinon","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"249","droplets of Nature. REJUVENATING TONER Lift - Correct 60mL","-","Hidrokinon","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"250","Durisan Non Alcohol Antimicrobial Hand Sanitizer","-","Metanol","Sanit Technologies LLC d/b/a Durisan","HM.01.1.2.10.21.49 (13/10/2021)"
"251","EB Ever Bilena Lip & Cheek Stain Night Berry","-","Cemaran mikroba","Ever Bilena Cosmetics, Inc., Caloocan City, Philippines","HM.01.1.2.10.21.49 (13/10/2021)"
"252","ECO-AGEN Day Cream","NA 18140100006","Merkuri / raksa (Hg)","Pasifik Ocean, Indonesia","IN.05.03.1.43.06.16.2848 (30/06/2016)"
"253","ECO-AGEN Night Cream","NA 18140100007","Merkuri / raksa (Hg)","Pasifik Ocean, Indonesia","IN.05.03.1.43.06.16.2848 (30/06/2016)"
"254","ELASTIDERM Decolletage Chest And Neck","-","Hidrokinon","Produsen: USA, Distributor: Obagi Medical Products, Jakarta","KH.00.01.43.2503 (11/06/2009)"
"255","Elixir of Lumos Mask","-","Arsenic","Viyaan (Importir), Made in Morocco","HM.01.1.4.01.20.02 (01/07/2020)"
"256","ELLIE GOULDING MAC LIPSTICK A1","-","Dipalsukan","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"257","Epi KleenGel Hand Sanitizer Gel","-","Kadar asetaldehid dan methanol melebihi batas","DCH Auriga Singapore Dan Mor Natural Products & Chemicals Ltd 29 Ha","HM.01.1.2.10.21.49 (13/10/2021)"
"258","Erase Solution","-","Asam Retinoat / Tretinoin","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"259","EREN Apple Moisture Lipstick","CD 0905701078 (Izin Edar telah dibatalkan)","Merah K3 (CI Pigment Red 53)","PT. Jofanca Kosmetik","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"260","EREN Cherry Moisture Lipstick","CD 0905701207 (Izin Edar telah dibatalkan)","Merah K3 (CI Pigment Red 53)","PT. Jofanca Kosmetik","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"261","EREN Grape Moisture Lipstick","CD 0905701327 (Izin Edar telah dibatalkan)","Merah K3 (CI Pigment Red 53)","PT. Jofanca Kosmetik","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"262","Eren Lipstick With Vitamin E. Kemasan Primer : ( warna merah No 01,02,03,04,05,08,10,11,12)","-","Merah K3 (CI Pigment Red 53)","","KH.00.01.3352 (07/09/2006)"
"263","Eren Lipstick With Vitamin E. Kemasan Primer : (warna biru No. 01,02,03,05,08,10,11,12)","-","Merah K3 (CI Pigment Red 53)","","KH.00.01.3352 (07/09/2006)"
"264","Eren Lipstick With Vitamin E. Kemasan Primer (warna hijau No. 01,02,03,04,05,08,10,11,12)","-","Merah K3 (CI Pigment Red 53)","","KH.00.01.3352 (07/09/2006)"
"265","EREN Moisture Lipstick Merah 01","CD 0905700445 (Izin Edar telah dibatalkan)","Merah K10 (Rhodamin B)","PT. Jofanca Kosmetik","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"266","EREN Pineaple Moisture Lipstick","CD 0905701196 (Izin Edar telah dibatalkan)","Merah K3 (CI Pigment Red 53)","PT. Jofanca Kosmetik","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"267","EREN Strawberry Moisture Lipstick","CD 0905700797 (Izin Edar telah dibatalkan)","Merah K3 (CI Pigment Red 53)","PT. Jofanca Kosmetik","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"268","Eren Water Shine & Crystal Lipstis dan Lip Gloss (No.5,8,12,14,18)","-","Merah K3 (CI Pigment Red 53)","","KH.00.01.3352 (07/09/2006)"
"269","ERNOLD Cream Siang","-","Hidrokinon","","PW.2010"
"270","ERTO`S Night Cream Whitening","NA18150102818","Hidrokinon","Diproduksi Oleh : PT. Immortal Cosmedika Indonesia Depok - Indonesia Untuk CV. ERTO","B-IN.05.03.1.43.12.16.4139 (06/12/2016)"
"271","ESTHER Bleaching Cream A","-","Merkuri/ raksa (Hg)","","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"272","ESTHER Bleaching Cream B","-","Merkuri/ raksa (Hg)","","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"273","ESTHER Day Cream","NA18140100289","Merkuri / raksa (Hg)","Pasifik Ocean, Indonesia","IN.05.03.1.43.06.16.2848 (30/06/2016)"
"274","ESTHER Night Cream","NA18140100290","Merkuri / raksa (Hg)","Pasifik Ocean, Indonesia","IN.05.03.1.43.06.16.2848 (30/06/2016)"
"275","ESTHER VITE Transparent Soap","NA18151200555","Merkuri / raksa (Hg)","","IN.05.03.1.43.06.16.2848 (30/06/2016)"
"276","ESTHER Whitening Cream M","-","Merkuri/ raksa (Hg)","","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"277","ESTHER Whitening Cream S","-","Merkuri/ raksa (Hg)","","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"278","Etude House - AC Clean-Up Mild Concealer","-","Senyawa antimon","Etude House","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"279","Etude House - Drawing Eyebrow Duo 03 Gray Brown","-","Senyawa antimon","Etude House","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"280","ETUDE HOUSE DEAR DARLING WATER GEL TINT (PK004)","Varian PK004 Tidak ternotifikasi, Produk ternotifikasi: - Etude House Dear, Darling Water Gel, Tint (Pk001), - Etude House Dear, Darling Water Gel, Tint (Pk002), - Etude House Dear, Darling Water Gel Tint (Pk003)","Dipalsukan","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"281","Etude House Dear Darling Water Gel Tint RD306","-","Dipalsukan","","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"282","ETUDE HOUSE PLAY MASCARA LENGTH WATERPROOF (NO.603)","-","Dipalsukan","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"283","Etude House Wonder Pore Freshner Tissue","-","Dipalsukan","","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"284","Etude House Zero Sebum Drying Powder","-","Dipalsukan","","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"285","EXTICA - Fabulous Matte Lipstick #09 Tulip Red","NA11181301795","Merah K3 (CI Pigment Red 53)","PT. MS Union International, Jakarta","HM.01.1.2.10.21.48 (13/10/2021)"
"286","EXTICA - Fabulous Matte Lipstick #13 Morange","NA11181301794","Merah K3 (CI Pigment Red 53)","PT. MS Union International, Jakarta","HM.01.1.2.10.21.48 (13/10/2021)"
"287","EXTICA - Fabulous Shiny Lipstick #112 Vibrant Rose","NA11181304263","Merah K10 (Rhodamin B)","PT. MS Union International, Jakarta","HM.01.1.2.10.21.48 (13/10/2021)"
"288","EXTICA Fabulous Sugar Shine Lipgloss Strawberry (No 19)","NA47161302694","Merah K3 (CI Pigment Red 53)","PT. MS Union International, Jakarta","HM.01.1.4.01.20.02 (01/07/2020)"
"289","Eye Shadow High China & England Aily","-","Merah K10 (Rhodamin B)","","KH.00.01.2.3984 (02/09/2004)"
"290","FairPrice Hand Sanitiser Lavender","-","Kadar asetaldehid dan methanol melebihi batas","NTUC Fairprice Co operative Ltd, Malaysia","HM.01.1.2.10.21.49 (13/10/2021)"
"291","Fairy Skin Derma Facial Set - Brightening Cream","-","Hidrokinon","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"292","Fairy Skin DermaFacial Set - Derma Facial Toner","-","Asam Retinoat / Tretinoin, Hidrokinon","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"293","FARGER HAIR CARE EXPERT CONDITIONING PERMANENT COLOR CREAM 6/7","-","o-aminophenol","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"294","FARGER HCE Permanent Hair Color Cream 10/1","-","Ditemukan p-fenilendiamin 0,001% b/b yang tidak teridentifikasi pada notifikasi (produk palsu)","Guangzhou Farger Fine Chemical Co., Ltd. No.88, Building A, Daxiang Industry Park, Fanghua Road, Renhe Town, Baiyun District, Guangzhou, China","PW.02.04.1.4.10.22.169 (04/10/2022)"
"295","FARGER HCE PERMANENT HAIR COLOR CREAM 2/0 (Notification number 10-2-6100006939)","-","Dipalsukan dan p phenylenediamine 3.77% w/w lebih dari yang di notifikasikan","Guangzhou Farger Fine Chemical Co.,Ltd., China","HM.01.1.4.01.20.02 (01/07/2020)"
"296","FARGER HCE PERMANENT HAIR COLOR CREAM 6/6 (Notification number 10â€2â€5930390)","-","Dipalsukan dan p phenylenediamine 0.199% w/w lebih dari yang di notifikasikan","Guangzhou Farger Fine Chemical Co.,Ltd., China","HM.01.1.4.01.20.02 (01/07/2020)"
"297","FARGER HCE PERMANENT HAIR COLOR CREAM CB2","-","p-phenylenediamine 0.183 %w/w","Diary Group (2007) Ltd., Thailand","HM.01.1.4.01.20.02 (01/07/2020)"
"298","Fashion Color Show Moistourizing Lip Gloss Kiss Beauty Soy Bean Essence No 1","-","Merah K10 (Rhodamin B)","","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"299","Fashion Color Show Moistourizing Lip Gloss Kiss Beauty Soy Bean Essence No 2","-","Merah K10 (Rhodamin B)","","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"300","Fashion Color Show Moistourizing Lip Gloss Kiss Beauty Soy Bean Essence No 3","-","Merah K10 (Rhodamin B)","","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"301","Fashion Color Show Moistourizing Lip Gloss Kiss Beauty Soy Bean Essence No 4","-","Merah K10 (Rhodamin B)","","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"302","Fate of Flower Eye Shadow","-","Merah K10 (Rhodamin B)","H.K Luck Flower Cosmetics Group Limited","KH.00.01.2.3984 (02/09/2004)"
"303","FEMCOLOUR Duo Lipstick Shine - 03 Peach","NA18171302976","Merah K3 (CI Pigment Red 53)","PT. Aulia Cosmetic Indonesia","HM.01.1.4.01.20.02 (01/07/2020)"
"304","FEMCOLOUR Duo Lipstick Shine - 05 Rouge","NA18171302978","Merah K3 (CI Pigment Red 53)","PT. Aulia Cosmetic Indonesia","HM.01.1.4.01.20.02 (01/07/2020)"
"305","FEMCOLOUR Duo Lipstick Shine - 06 Maroon","NA18171302981","Merah K3 (CI Pigment Red 53)","PT. Aulia Cosmetic Indonesia","HM.01.1.4.01.20.02 (01/07/2020)"
"306","FEVES Color Cream 0.43 Phoenix Red","CL 0701602317 (Izin Edar telah dibatalkan)","Merah K10 (Rhodamin B)","PD. Garuda Mas Internasional, Jakarta","HM.03.03.1.43.12.12.8256 (27/12/2012)"
"307","FEVES Color Cream 0.43 Phoenix Red","NA 32111000134 (Izin Edar telah dibatalkan)","Merah K10 (Rhodamin B)","PD. Garuda Mas Internasional, Jakarta","HM.03.03.1.43.12.12.8256 (27/12/2012)"
"308","FEVES Color Cream 5.36 Golden Cupprum","CL 0701602324 (Izin Edar telah dibatalkan)","Merah K10 (Rhodamin B)","PD. Garuda Mas Internasional, Jakarta","HM.03.03.1.43.12.12.8256 (27/12/2012)"
"309","FIRMAX3 FIRMING & LIFTING CREAM","-","Dipalsukan","","HM.01.1.4.01.20.02 (01/07/2020)"
"310","Fjura - Face Polish Treatment","-","Merkuri / raksa (Hg)","Karvy Manufacturing International, Pakistan","HM.01.1.4.01.20.02 (01/07/2020)"
"311","FLASHH Night Cream","-","Hidrokinon","","PW.02.04.1.4.10.22.169 (04/10/2022)"
"312","FLASHH Treatment Cream","-","Merkuri / raksa (Hg)","","PW.02.04.1.4.10.22.169 (04/10/2022)"
"313","FRAMESI Framcolor 2001 Hair Coloring Cream 8NC 8.1","-","Kadar p-fenilendiamin (0,101% b/b) kurang dari data notifikasi (20%) (produk palsu)","Framesi S.P.A S.S. Dei Giovi 135 Paderno Dugnano (Mi) -, Italy","PW.02.04.1.4.10.22.169 (04/10/2022)"
"314","FREECIA Professional Permanent Hair Color Cream 99.13","-","Ditemukan p-fenilendiamin 0,0191% b/b yang tidak teridentifikasi pada notifikasi (produk palsu)","Guangzhou Colornow Cosmetic Co., Ltd., China","PW.02.04.1.4.10.22.169 (04/10/2022)"
"315","FRUITY Vitamin C Whitening Cream (B)","(Izin Edar Dibatalkan)","Hidrokinon","T.G.B United Enterprise Co. Ltd., Taiwan, Disributor: PT. Usaha Mandiri, Jakarta","KH.00.01.43.2503 (11/06/2009)"
"316","FS Turmeric Cream","-","Betamethasone 17-Valerate dan Merkuri / raksa (Hg)","Thailand","HM.01.1.2.10.21.49 (13/10/2021)"
"317","FULENZE Refreshing Whitening Freckle Day Cream / Night Cream","-","Merkuri / raksa (Hg)","Korea Fulenze Co., Ltd., Korea","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"318","FULENZE Whitening Freckle Day Cream","-","Merkuri / raksa (Hg) (6229.11 ppm)","Korea Fulenze Co., Ltd.,","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"319","FULENZE Whitening Freckle Night Cream","-","Merkuri / raksa (Hg) (5147.13 ppm)","Korea Fulenze Co., Ltd.,","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"320","Fulenze-Whitening Freckle Day Cream","-","Merkuri / raksa (Hg)","Beauty Cosmetic Co.,Ltd , South Korea","HM.01.1.4.01.20.02 (01/07/2020)"
"321","GARNIER Skin Naturals Night Cream","-","Merkuri/ raksa (Hg)","","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"322","GAVIA Whitening Cream","NA18131900338","Hidrokinon","PT Immortal Cosmedika Indonesia Untuk PT. Gavia Sukses Bersama","IN.05.03.1.43.06.16.2848 (30/06/2016)"
"323","germ-X","-","Kadar asetaldehid dan methanol melebihi batas","NTUC Fairprice Co operative Ltd., USA","HM.01.1.2.10.21.49 (13/10/2021)"
"324","GG Pinky Day Cream for Skin","-","Merkuri / raksa (Hg)","Pan Rajdhevee Group Public Company Limited","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"325","GIA SKINPERT+ SEBUSTOP Acne Defying Cream","-","Linkomisin","Zelcos Laboratory Sdn Bhd","HM.01.1.2.10.21.49 (13/10/2021)"
"326","GLD Garland Lipstick No. 9","(Izin Edar dibatalkan)","Merah K3 (CI Pigment Red 53)","PT. Hollywood Sisters, Malang","KH.00.01.43.2503 (11/06/2009)"
"327","Glow Glowing N Glow","-","Asam Retinoat / Tretinoin, Hidrokinon","Top On Cosmetics Industries, Malaysia","HM.01.1.4.01.20.02 (01/07/2020)"
"328","Glow Glowing N Glowing","-","Merkuri / raksa (Hg)","Top On Cosmetics Industries, Malaysia","HM.01.1.4.01.20.02 (01/07/2020)"
"329","Glow Glowing T Treatment","-","Hidrokinon","Top On Cosmetics Industries, Malaysia","HM.01.1.4.01.20.02 (01/07/2020)"
"330","Glow Skin White French Technology Smart Pack - SPF 50 Cream","-","Merkuri / raksa (Hg)","","HM.01.1.4.01.20.02 (01/07/2020)"
"331","Glow Skin White French Technology Smart Pack - Whitening Cleanser","-","Merkuri / raksa (Hg)","","HM.01.1.4.01.20.02 (01/07/2020)"
"332","Glow Skin White French Technology Smart Pack - Whitening Cream","-","Merkuri / raksa (Hg)","","HM.01.1.4.01.20.02 (01/07/2020)"
"333","Golden Pearl Beauty Cream","-","Merkuri / raksa (Hg)","Golden Pearl Cosmetics, Pakistan","HM.01.1.4.01.20.02 (01/07/2020)"
"334","Good Cream kuning","-","Merkuri / raksa (Hg)","PT. Daun Indah Mas (Ilegal)","KH.00.01.2.3984 (02/09/2004)"
"335","Goree Beauty Cream with Lycopene","-","Merkuri / raksa (Hg)","H Pharmacy","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"336","Goree Day & Night Whitening Cream Oil Free","-","Merkuri / raksa (Hg)","H Pharmacy","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"337","GP Cream Night Cream","-","Asam Retinoat / Tretinoin, Hidrokinon","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"338","GREEN ALVINA Night Cream Acne","-","Asam Retinoat / Tretinoin, Merkuri / raksa (Hg)","PT. Alvina Rizky Abadi, Tangerang","HM.04.01.1.43.05.13.2690 (13/05/2013)"
"339","Guardian Aloe & Korean-Mint Antibacterial Hand Sanitiser","-","Kadar asetaldehid dan methanol melebihi batas","Guardian Health & Beauty Made in Malaysia","HM.01.1.2.10.21.49 (13/10/2021)"
"340","Guardian Lavender & Passion Flower Antibacterial Hand Sanitiser","-","Kadar asetaldehid dan methanol melebihi batas","Guardian Health & Beauty Made in Malaysia","HM.01.1.2.10.21.49 (13/10/2021)"
"341","HAN’S SKIN CARE Flawless Day Cream","Malaysia","Asam Retinoat / Tretinoin, Merkuri / raksa (Hg)","Malaysia","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"342","HAN’S SKIN CARE Flawless Night Cream","Malaysia","Merkuri / raksa (Hg)","Malaysia","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"343","HAN’S SKIN CARE Treatment Toner","Malaysia","Hidrokinon","Malaysia","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"344","HAN’S SKIN CARE TRIAL Flawless Day Cream","Malaysia","Asam Retinoat / Tretinoin, Merkuri / raksa (Hg)","Malaysia","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"345","HAN’S SKIN CARE TRIAL Flawless Night Cream","Malaysia","Merkuri / raksa (Hg)","Malaysia","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"346","HAN’S SKIN CARE TRIAL Treatment Toner","Malaysia","Hidrokinon","Malaysia","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"347","HASAYA GIRL Blushing Love Blusher","-","Timbal","-","HM.01.1.2.10.21.49 (13/10/2021)"
"348","HAYFA Acne Morning Pagi - Sore","CA 18080102940 (Izin Edar telah dibatalkan)","Resorsinol","PT. Haifa Paraestetiderma, Semarang","HM.04.01.1.43.05.13.2690 (13/05/2013)"
"349","HAYFA Sunblock Acne Cream Natural Pagi � Sore","CA 18081807726 (Izin Edar telah dibatalkan)","Resorsinol","PT. Haifa Paraestetiderma, Semarang","HM.04.01.1.43.05.13.2690 (13/05/2013)"
"350","HCE Permanent Hair Color Cream 8/43","-","Kadar p-fenilendiamin lebih kecil daripada data registrasi","Guangzhou Farger Fine Chemical Co.,Ltd., China","HM.01.1.2.10.21.49 (13/10/2021)"
"351","Heng pang Lip Glos No.3.Tube","-","Merah K10 (Rhodamin B)","","KH.00.01.432.6081 (01/08/2007)"
"352","Hengfang 2 in 1 Lipcolor & Eye Shadow","-","Merah K10 (Rhodamin B)","Shantou Hengfang Cosmetics Enterprise Co. Ltd","KH.00.01.2.3984 (02/09/2004)"
"353","Hengfang Lipstick No ( 09 , 42 )","-","Merah K3 (CI Pigment Red 53)","Shantou Hengfang Cosmetics Ltd., China","KH.00.01.3352 (07/09/2006)"
"354","HERB GOLD all natural all in one cream","-","Merkuri / raksa (Hg)","Thailand","HM.01.1.2.10.21.49 (13/10/2021)"
"355","Herbal Clinic GREEN ALVINA Walet Cream Mild Night Cream","-","Asam Retinoat / Tretinoin, Hidrokinon","","HM.04.01.1.43.05.13.2690 (13/05/2013)"
"356","Herbal Health Cream Yi Special Cream","Indonesia","Klotrimazol, Terbinafin","Ace Nutrition International","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"357","Herbal Health Ji Special Cream","Indonesia","Mikonazol","Ace Nutrition International","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"358","Herbal Health Ru Special Cream","Indonesia","Mikonazol","Ace Nutrition International","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"359","Herbal Health Xiang Cream","Indonesia","Khlorpheniramin, Klotrimazol, Mikonazol, Terbinafin","Ace Nutrition International","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"360","Herbal Turmeric Herbal Cream Notification number 10-1-5928106","-","Merkuri / raksa (Hg)","","HM.01.1.4.01.20.02 (01/07/2020)"
"361","Hofine Eye Shadow / Lip Gloss /Powder Cake","-","Merah K10 (Rhodamin B)","Shantou Hengfang Cosmetics enterprise Co.Ltd., China","KH.00.01.3352 (07/09/2006)"
"362","HP Cream U Flek","-","Hidrokinon","","PW.2010"
"363","Huadi Lipstick","-","Merah K3 (CI Pigment Red 53)","","KH.00.01.3352 (07/09/2006)"
"364","HUXIABEAUTY Liquid Matte Lipgloss & Lipstick","-","Pewarna oranye","-","HM.01.1.2.10.21.49 (13/10/2021)"
"365","I COSMETICA SKIN CARE ENTERPRISE REJUVENATING CREAM","-","Asam Retinoat / Tretinoin, Hidrokinon","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"366","I COSMETICA SKIN CARE ENTERPRISE REJUVENATING TONER","-","Asam Retinoat / Tretinoin, Hidrokinon","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"367","I LOVE Whitening Cream Night Cream SPF 30","CD 9036653375 (Tanpa Izin Edar (Nomor Izin Edar fiktif))","Merkuri/ raksa (Hg)","","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"368","IMI Whitening Deoxyarbutin","NA 18151900429","Hidrokinon","PT. Immortal Cosmedika Indonesia Untuk PT Mahakarya Indah Sejati","B-IN.05.03.1.43.12.16.4139 (06/12/2016)"
"369","IMPLORA Complete Beauty Care No. 210","CD 0501600826L (Tanpa Izin Edar (Nomor Izin Edar fiktif))","Merah K3 (CI Pigment Red 53)","UD. Priskilla Cosmetic","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"370","IMPLORA Fashionable Cosmetic 707 (eye shadow)","NA 18121200817","Merah K10 (Rhodamin B)","Priskila Cosmetics","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"371","IMPLORA Fashionable Cosmetic 707 02 (blush on)","NA 18121200816","Merah K10 (Rhodamin B)","Priskila Cosmetics","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"372","IMPLORA Fashionable Cosmetic 707 02 (eye shadow)","NA 18121200817","Merah K10 (Rhodamin B)","Priskila Cosmetics","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"373","IMPLORA Fashionable Cosmetics Complete Make Up Tas (Eye Shadow)","NA 1812100589","Merah K10 (Rhodamin B)","Priskila Cosmetics","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"374","IMPLORA Fashionable Cosmetics Complete Make Up Tas (Lipstik)","NA 18121300374","Merah K10 (Rhodamin B)","Priskila Cosmetics","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"375","IMPLORA Fashionable Cosmetics Eye Shadow 01 No. 669B","CD 0501600826L (Tanpa Izin Edar (Nomor Izin Edar fiktif))","Merah K10 (Rhodamin B)","","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"376","IMPLORA Fashionable Cosmetics Y7034 (Blush On)","NA18121200899","Merah K10 (Rhodamin B)","CV. Priskila Mandiri Utama","IN.05.03.1.43.06.16.2848 (30/06/2016)"
