"No","Nama Produk","Nomor Izin Edar / Notifikasi","Kandungan Bahan Berbahaya/Dilarang","Produsen / Pendaftar","Nomor Surat Public Warning"
"16","Ai Zhuang Lipstick ( No. 14,17,23,27,30,46,60,63,64)","-","Merah K10 (Rhodamin B)","China","KH.00.01.3352 (07/09/2006)"
"17","AICHUN BEAUTY Night Cream","NA47150100856","Merkuri / raksa (Hg)","Product by: Chiao Tu Cosmetics Co. Ltd., Taiwan, Import by: Crystal Beauty, Indonesia","IN.05.03.1.43.06.16.2848 (30/06/2016)"
"18","AILISI Acne Purifying Cream","-","Klindamisin","","PW.02.04.1.4.10.22.169 (04/10/2022)"
"19","ALMAS Cantik - Cerah - Gebu Krim Jeragat","-","Hidrokinon","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"20","ALMAS Cantik - Cerah - Gebu Krim Kunyit","-","Merkuri / raksa (Hg)","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"21","ANDREA SECRET BABE LIPS (23)","-","Merah K10 (Rhodamin B)","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"22","ANIMA40 Day Cream","NA47150100876","Merkuri / raksa (Hg)","Product by: Chiao Tu Cosmetics Co. Ltd., Taiwan, Import by: Crystal Beauty, Indonesia","IN.05.03.1.43.06.16.2848 (30/06/2016)"
"23","ANIMA40 Night Cream","NA 47150100875","Merkuri / raksa (Hg)","Product by: Chiao Tu Cosmetics Co. Ltd., Taiwan, Import by: Crystal Beauty, Indonesia","IN.05.03.1.43.06.16.2848 (30/06/2016)"
"24","Anti-Freckle Freckle Removing Cream","-","Merkuri / raksa (Hg)","","HM.01.1.4.01.20.02 (01/07/2020)"
"25","ANYLADY Eyeshadow Make Up Palette (No.02)","-","Timbal","China","HM.01.1.2.10.21.49 (13/10/2021)"
"26","Apple Diamond Day Loose","-","Merkuri / raksa (Hg)","Yamni Industries Sdn Bhd (Cosmetic Premise), Malaysia","HM.01.1.4.01.20.02 (01/07/2020)"
"27","Apple Two Way Cake Eye Shadow & Lipstick & Blusher","-","Merah K10 (Rhodamin B)","-","HM.01.1.2.10.21.49 (13/10/2021)"
"28","AQF","-","Merkuri / raksa (Hg)","","KH.00.01.2.3984 (02/09/2004)"
"29","ARCHE Pearl Cream","-","Merkuri / raksa (Hg)","","KH.00.01.3352 (07/09/2006)"
"30","ARIMINO Color Story I Prime BR-4NB","-","Ditemukan p-fenilendiamin 1,54% b/b yang tidak teridentifikasi pada notifikasi (produk palsu)","Arimino Co.,Ltd., Japan","PW.02.04.1.4.10.22.169 (04/10/2022)"
"31","Aritaum - Full Cover Cream Concealer (2.5g) 01 Light Beige/Natural Beige","-","Senyawa antimon","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"32","Aritaum - Full Cover Cream Concealer (2.5g) 02 Olive Green & Pink","-","Senyawa antimon","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"33","Aritaum - Full Cover Stick Concealer (2g) 01 Light Beige","-","Senyawa antimon","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"34","Aritaum - Full Cover Stick Concealer (2g) 02 Natural Beige","-","Senyawa antimon","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"35","Artista Scent Perfect White Cream Silky","-","Palsu","","HM.01.1.2.10.21.49 (13/10/2021)"
"36","Aryana Beauty & Body Doctor Skin Night Cream","-","Asam Retinoat / Tretinoin","Aryana Beauty & Body Philippines","HM.01.1.2.10.21.49 (13/10/2021)"
"37","AS'S BEAUTY Night Cream","-","Merkuri / raksa (Hg)","","PW.02.04.1.4.10.22.169 (04/10/2022)"
"38","ASDANNE Whitening Freckle Day Cream","-","Merkuri / raksa (Hg) (3828.51 ppm)","Korea Haiya Biotechnology Co., Ltd.","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"39","Asdanne Whitening Freckle Day Cream","-","Merkuri / raksa (Hg)","Beauty Cosmetic Co.,Ltd , South Korea","HM.01.1.4.01.20.02 (01/07/2020)"
"40","ASDANNE Whitening Freckle Day Cream + Night Cream","-","Merkuri / raksa (Hg)","Korea Haiya Biotechnology Co., Ltd.","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"41","ASDANNE Whitening Freckle Night Cream","-","Merkuri / raksa (Hg) (3828.51 ppm)","Korea Haiya Biotechnology Co., Ltd.","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"42","ASDANNE Whitening Refreshing Isolation Cream","-","Merkuri / raksa (Hg) (806.87 ppm)","Korea Haiya Biotechnology Co., Ltd.","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"43","AsepsoTM Professional Hand Sanitiser","-","Kadar asetaldehid dan methanol melebihi batas","Sweetyet Development Pte Ltd","HM.01.1.2.10.21.49 (13/10/2021)"
"44","ASHLEY EVERYDAY’S LIPSTICK 20 G","-","Merah K3 (CI Pigment Red 53)","SHANTOU YINGJI COSMETIC CO.,LTD. , CHINA","HM.01.1.4.01.20.02 (01/07/2020)"
"45","ASNEW Blush On","-","Merah K3 (CI Pigment Red 53)","Gao Ji Yan Zhi","KH.00.01.43.2503 (11/06/2009)"
"46","AUBAINE Rejuvenating Intensive Serum","CA47090102548","Vitamin K","Mega Skincare Biotech,Taiwan / PT. Tunggal Chakra Perkasa, Tangerang","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"47","Aura Gorgeous Night Cream","-","Merkuri / raksa (Hg)","Anfa International Laboratoires, Morocco","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"48","AURAKU Whitening Serum","NA18111900276","Hidrokinon","CV AURA CEMERLANG COSMECEUTICAL","IN.05.03.1.43.06.16.2848 (30/06/2016)"
