english_name,indonesian_name,is_dangerous
2-ETHYLBUTANOL,2-ETHYLBUTANOL,False
2-ETHYLBUTYL CYCLOPENT-1-ENEACETATE,2-ETHYLBUTYL CYCLOPENT-1-ENEACETATE,False
2-ETHYLBUTYL CYCLOPENT-2-ENEACETATE,2-ETHYLBUTYL CYCLOPENT-2-ENEACETATE,False
2-ETHYLBUTYRIC ACID,2-ETHYLBUTYRIC ACID,False
2-ETHYLHEXANOL,2-ETHYLHEXANOL,False
2-ETHYLIDENEDECANAL,2-ETHYLIDENEDECANAL,False
"2-ETHYLPENTYL-1,3-DIOXOLANE","2-ETHYLPENTYL-1,3-DIOXOLANE",False
2-FURANCARBALDEHYDE/HEPTANAL HYDROGENATED,2-FURANCARBALDEHYDE/HEPTANAL HYDROGENATED,False
2-FURFURYLENEOCTANAL,2-FURFURYLENEOCTANAL,False
2-FURYL METHYL KETONE,2-FURYL METHYL KETONE,False
2-FURYLMETHANETHIOL,2-FURYLMETHANETHIOL,False
2-HEPTANOL,2-HEPTANOL,False
2-HEPTYLCYCLOPENTANONE,2-HEPTYLCYCLOPENTANONE,False
2-HEPTYLFURAN,2-HEPTYLFURAN,False
2-HEPTYLIDENECYCLOPENTANONE,2-HEPTYLIDENECYCLOPENTANONE,False
2-HEXANOL,2-HEXANOL,False
"2-HEXYL-1,3-DIOXANOL","2-HEXYL-1,3-DIOXANOL",False
"2-HEXYL-1,3-DIOXOLANE-4-METHANOL","2-HEXYL-1,3-DIOXOLANE-4-METHANOL",False
2-HEXYLIDENECYCLOHEXAN-1-ONE,2-HEXYLIDENECYCLOHEXAN-1-ONE,False
2-HEXYLIDENECYCLOPENTANONE,2-HEXYLIDENECYCLOPENTANONE,False
2-HYDROXYETHYL ACRYLATE,2-HYDROXYETHYL ACRYLATE,False
2-HYDROXYETHYL PICRAMIC ACID,2-HYDROXYETHYL PICRAMIC ACID,False
2-HYDROXYETHYLAMINO-5-NITROANISOLE,2-HYDROXYETHYLAMINO-5-NITROANISOLE,False
2-HYDROXYPROPYL ACRYLATE,2-HYDROXYPROPYL ACRYLATE,False
2-ISOBUTYLQUINOLINE,2-ISOBUTYLQUINOLINE,False
2-ISOPENTENAL,2-ISOPENTENAL,False
2-ISOPENTENYL PHENETHYL ETHER,2-ISOPENTENYL PHENETHYL ETHER,False
2-ISOPENTENYL SALICYLATE,2-ISOPENTENYL SALICYLATE,False
2-ISOPROPYL-5-METHYLANISOLE,2-ISOPROPYL-5-METHYLANISOLE,False
2-M-CRESYLETHANOL,2-M-CRESYLETHANOL,False
2-MELOZOL ACETATE,2-MELOZOL ACETATE,False
2-MELOZOL FORMATE,2-MELOZOL FORMATE,False
2-METHOXY-3-METHYLPYRAZINE,2-METHOXY-3-METHYLPYRAZINE,False
2-METHOXY-4-METHOXYMETHYL-PHENOL,2-METHOXY-4-METHOXYMETHYL-PHENOL,False
2-METHOXY-P-CRESOL,2-METHOXY-P-CRESOL,False
2-METHOXY-P-PHENYLENEDIAMINE SULFATE,2-METHOXY-P-PHENYLENEDIAMINE SULFATE,False
2-METHOXYMETHYL-P-PHENYLENEDIAMINE,2-METHOXYMETHYL-P-PHENYLENEDIAMINE,False
2-METHOXYMETHYL-P-PHENYLENEDIAMINE SULFATE,2-METHOXYMETHYL-P-PHENYLENEDIAMINE SULFATE,False
"2-METHOXYPHENOL/2,2-DIMETHYL-3-METHYLENEBICYCLO-HEPTANE HYDROGENATED","2-METHOXYPHENOL/2,2-DIMETHYL-3-METHYLENEBICYCLO-HEPTANE HYDROGENATED",False
2-METHYL 5-CYCLOHEXYLPENTANOL,2-METHYL 5-CYCLOHEXYLPENTANOL,False
2-METHYL 5-PHENYLPENTANOL,2-METHYL 5-PHENYLPENTANOL,False
2-METHYL-1-NAPHTHOL,2-METHYL-1-NAPHTHOL,False
"2-METHYL-1,5-DIOXASPIROUNDECANE","2-METHYL-1,5-DIOXASPIROUNDECANE",False
2-METHYL-2-BUTENOL,2-METHYL-2-BUTENOL,False
"2-METHYL-3-(1,7, 7-TRIMETHYLBICYCLOHEPT-2-YLOXY)-PROPANOL","2-METHYL-3-(1,7, 7-TRIMETHYLBICYCLOHEPT-2-YLOXY)-PROPANOL",False
2-METHYL-3-BUTEN-2-OL,2-METHYL-3-BUTEN-2-OL,False
2-METHYL-3-OXOPROPOXY-PYRAN-4-ONE,2-METHYL-3-OXOPROPOXY-PYRAN-4-ONE,False
2-METHYL-3-P-CRESYL-PROPIONALDEHYDE,2-METHYL-3-P-CRESYL-PROPIONALDEHYDE,False
"2-METHYL-4-(2,2, 3-TRIMETHYL-3-CYCLOPENTENYL)-2-BUTEN-1-OL","2-METHYL-4-(2,2, 3-TRIMETHYL-3-CYCLOPENTENYL)-2-BUTEN-1-OL",False
"2-METHYL-4-(2,6, 6-TRIMETHYL-1-CYCLOHEXENYL)-2-BUTENAL","2-METHYL-4-(2,6, 6-TRIMETHYL-1-CYCLOHEXENYL)-2-BUTENAL",False
